node_id,node_type,symbol,codepoint,kangxi_radical,kangxi_radical_number,in_largest_component,degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank
rad:145:衣,radical,衣,,衣,145,1,366,0.01325078744433583,0.007321700839586358,0.3340388988340026,0.010758879780898864,0.0022020096266177655
rad:154:貝,radical,貝,,貝,154,1,754,0.027298070308822996,0.017197378173840698,0.3385764025107885,0.019637351591322034,0.004440653162056344
rad:210:齊,radical,齊,,齊,210,1,48,0.0017378081894210925,0.00022861891690943064,0.2834606068070781,0.0003171838634906673,0.0003419653521763775
rad:111:矢,radical,矢,,矢,111,1,142,0.005141015893704065,0.0010332523423356192,0.3203382359764302,0.003029420816994734,0.0008321423777810988
rad:161:辰,radical,辰,,辰,161,1,92,0.0033307990297237605,0.0005816719412103911,0.30901177102448196,0.0011162169583012762,0.0005750787857220734
rad:54:廴,radical,廴,,廴,54,1,89,0.0032221860178849424,0.0004674028251400642,0.30603945035460994,0.001430360073248019,0.0005146631469322328
rad:157:足,radical,足,,足,157,1,376,0.013612830817131891,0.006935992068471367,0.3336353532424857,0.011922526885770068,0.0022168564337670094
rad:163:邑,radical,邑,,邑,163,1,319,0.011549183592194343,0.005212448905033442,0.33100414699043557,0.011230841838256764,0.0018665532805604687
rad:47:巛,radical,巛,,巛,47,1,152,0.005503059266500126,0.0009814016813490848,0.31799235445836405,0.005137489490759208,0.0008624299472915415
rad:150:谷,radical,谷,,谷,150,1,78,0.0028239383078092753,0.0006039623581768071,0.3195080753389791,0.000877948845661911,0.0004957202600214068
rad:166:里,radical,里,,里,166,1,138,0.004996198544585641,0.0011959286720286887,0.3158033161806747,0.0016236686494187798,0.0008616429059893693
rad:130:肉,radical,肉,,肉,130,1,628,0.022736323811592626,0.013703759376217147,0.3382860922609569,0.025595683479011838,0.0036280320735473473
rad:149:言,radical,言,,言,149,1,837,0.0303030303030303,0.02151715754807885,0.3392418435534591,0.025128994092365006,0.004955709333888178
rad:175:非,radical,非,,非,175,1,94,0.0034032077042829728,0.0007955926471468046,0.31311791383219956,0.0010168587039892118,0.0006174264934765052
rad:141:虍,radical,虍,,虍,141,1,255,0.009232106006299553,0.0027371927435225914,0.3282111618178361,0.006464958759395235,0.001438173832570065
rad:45:屮,radical,屮,,屮,45,1,162,0.005865102639296187,0.0013842682739474642,0.31893983138930593,0.007374485567381531,0.000868120029610372
rad:17:凵,radical,凵,,凵,17,1,191,0.006915028420404764,0.0014754471769435652,0.3252043051270578,0.004951999055095401,0.0010081313638700188
rad:172:隹,radical,隹,,隹,172,1,527,0.019079685746352413,0.009968703196901988,0.3346217224834004,0.010806366768874684,0.0030662814127722926
rad:103:疋,radical,疋,,疋,103,1,74,0.0026791209586908508,0.0003452039086527963,0.29963111641531953,0.0009072689139717318,0.0004587023350113941
rad:66:攴,radical,攴,,攴,66,1,460,0.016653995148618803,0.008021832812461691,0.3332327815048989,0.01637273495596499,0.0025990673219255032
rad:116:穴,radical,穴,,穴,116,1,234,0.008471814923427827,0.0033813891035499592,0.3319590355073683,0.004508655488478448,0.0013888859744031201
rad:134:臼,radical,臼,,臼,134,1,218,0.007892545526954129,0.002094720993270682,0.325587701303907,0.0034984272509763947,0.0012467182349226913
rad:181:頁,radical,頁,,頁,181,1,335,0.012128452988668041,0.006149526173693523,0.33008629550833074,0.009946246126150573,0.0020271618525593235
rad:140:艸,radical,艸,,艸,140,1,1726,0.06248868614460012,0.05765734892542559,0.34852347299343767,0.0676213837997442,0.009857867393618675
rad:114:禸,radical,禸,,禸,114,1,126,0.004561746497230368,0.0009382110694128995,0.31436539556061466,0.0021762210312933185,0.0007264469594944452
rad:182:風,radical,風,,風,182,1,112,0.004054885775315882,0.0013034357100714456,0.31533455126741267,0.002520769783911616,0.0007115525269141551
rad:109:目,radical,目,,目,109,1,504,0.018246985988921473,0.010345613236386669,0.33576899696048634,0.012760835236543583,0.0029866242841911682
rad:180:音,radical,音,,音,180,1,85,0.003077368668766518,0.0005527188780729128,0.31255800267095224,0.0014180411756202676,0.0005282236613507603
rad:164:酉,radical,酉,,酉,164,1,259,0.009376923355417979,0.0038082949324499678,0.3299364427028577,0.007776375156765743,0.0015279241694908174
